author_id,author,external_author_id,account_type,account_category,new_june_2018,congress_2017_id,in_congress_2017,in_congress_2018
abbylopTrT,abbylopTrT,889000000000000000,Right,RightTroll,False,889229809838063616,True,True
abellabab,abellabab,1683067645,left,LeftTroll,True,,False,True
AbigailCallMe,AbigailCallMe,2534371940,?,Unknown,True,,False,True
abigailssilk,abigailssilk,2534421182,Hashtager,HashtagGamer,False,2534421182,True,True
abiissrosb,abiissrosb,893000000000000000,Right,RightTroll,False,893352343277887488,True,True
abisadmassT,abisadmassT,889000000000000000,Right,RightTroll,False,888605542545076224,True,True
abmerrlins,abmerrlins,890000000000000000,Right,RightTroll,False,889750450882453504,True,True
aboutpolit,aboutpolit,752000000000000000,left,LeftTroll,True,,False,True
AbramsRebekah,AbramsRebekah,1675561518,?,Unknown,False,1675561518,True,True
Abunuwasa,Abunuwasa,2253746724,Russian,NonEnglish,True,,False,True
Abu_Ubaida2,Abu_Ubaida2,2501943535,Arabic,NonEnglish,False,2501943535,True,True
ACAB_ZONE,ACAB_ZONE,4104541313,left,LeftTroll,False,4104541313,True,True
ACaparella,ACaparella,895000000000000000,Right,RightTroll,False,894839911597191168,True,True
acejinev,acejinev,1652138929,left,LeftTroll,False,1652138929,True,True
AchsahOrkhan,AchsahOrkhan,844000000000000000,?,Unknown,False,844447543354425344,True,True
activemikr,activemikr,1706757804,?,Unknown,False,1706757804,True,True
adalesTrTM,adalesTrTM,889000000000000000,Right,RightTroll,False,889232702880264192,True,True
AdamChapmanJR,AdamChapmanJR,1670762347,left,LeftTroll,False,1670762347,True,True
adamma_defond,adamma_defond,1706927250,Russian,NonEnglish,True,,False,True
Adam_Mathisss,Adam_Mathisss,3083524107,Right,RightTroll,False,3083524107,True,True
Addie_Hol,Addie_Hol,1704035413,Right,RightTroll,False,1704035413,True,True
adele_brock,adele_brock,1660099243,Right,RightTroll,True,,False,True
AdeliinesTrT,AdeliinesTrT,889000000000000000,Right,RightTroll,False,888608925884534784,True,True
Adeline_Gs,Adeline_Gs,2540926873,?,Unknown,False,2540926873,True,True
adelisTrTT,adelisTrTT,889000000000000000,Right,RightTroll,False,888610432264663040,True,True
adkezlate,adkezlate,2591304615,Hashtager,HashtagGamer,True,,False,True
adleestTT,adleestTT,889000000000000000,Right,RightTroll,False,889235931479384064,True,True
adleeswod,adleeswod,889000000000000000,Right,RightTroll,False,888606986929139712,True,True
adnnelstr,adnnelstr,893000000000000000,Right,RightTroll,False,893370639309996032,True,True
AdrGreerr,AdrGreerr,1660186831,left,LeftTroll,False,1660186831,True,True
AdrianaMfttt,AdrianaMfttt,3075892603,Right,RightTroll,False,3075892603,True,True
adriasnss,adriasnss,893000000000000000,Right,RightTroll,False,893362647147700224,True,True
Adrienne_GG,Adrienne_GG,1657833811,Hashtager,HashtagGamer,False,1657833811,True,True
Adri_Low_r,Adri_Low_r,1654782062,left,LeftTroll,False,1654782062,True,True
AEsparzza,AEsparzza,1647263978,Hashtager,HashtagGamer,False,1647263978,True,True
afeeliutr,afeeliutr,891000000000000000,Right,RightTroll,False,891183122305486848,True,True
AfifyAmira1,AfifyAmira1,4724876177,left,LeftTroll,False,4724876177,True,True
Afonia_Zhilcov,Afonia_Zhilcov,2188943372,Russian,NonEnglish,True,,False,True
AfoninMixail,AfoninMixail,2403087196,Russian,NonEnglish,True,,False,True
africavserdce,africavserdce,2190676352,Russian,NonEnglish,True,,False,True
AFuckInside,AFuckInside,1661254026,Hashtager,HashtagGamer,True,,False,True
AgafonMe,AgafonMe,2592433387,Russian,NonEnglish,False,2592433387,True,True
AgainUkrFake,AgainUkrFake,881089000000000000,?,Unknown,True,,False,True
agata_alexeeva,agata_alexeeva,2276566356,Russian,NonEnglish,True,,False,True
AgitPolk,AgitPolk,2526297190,Russian,NonEnglish,False,2526297190,True,True
agnesgrhm,agnesgrhm,2743391752,Hashtager,HashtagGamer,False,2743391752,True,True
agnesmltrT,agnesmltrT,889000000000000000,Right,RightTroll,False,889237455056056320,True,True
agnessTrYT,agnessTrYT,889000000000000000,Right,RightTroll,False,888612540749623296,True,True
ahmadhusseinii,ahmadhusseinii,2657041133,Arabic,NonEnglish,True,,False,True
ahmadradjab,ahmadradjab,2405449437,Russian,NonEnglish,True,,False,True
AhmadYousef23,AhmadYousef23,2430672123,Arabic,NonEnglish,True,,False,True
AhmadYusuff03,AhmadYusuff03,2186395434,Arabic,NonEnglish,False,,False,True
ahmansour91061,ahmansour91061,3937303157,German,NonEnglish,True,,False,True
ahNordyk,ahNordyk,2396092629,Russian,NonEnglish,True,,False,True
AHogan_Am,AHogan_Am,1740465132,left,LeftTroll,False,1740465132,True,True
ah_veroniki,ah_veroniki,2191512595,Russian,NonEnglish,True,,False,True
Aiden7757,Aiden7757,2570250275,Hashtager,HashtagGamer,False,2570250275,True,True
akoromyslova,akoromyslova,548013231,Russian,NonEnglish,True,,False,True
alanisstrs,alanisstrs,893000000000000000,Right,RightTroll,False,893391276942426112,True,True
alaxxaTR,alaxxaTR,893000000000000000,Right,RightTroll,False,893396485555048448,True,True
alaxxaTrT,alaxxaTrT,889000000000000000,Right,RightTroll,False,888628331150802944,True,True
albelitaTrTs,albelitaTrTs,889000000000000000,Right,RightTroll,False,888617649625759744,True,True
Alberta_Hayness,Alberta_Hayness,1683415466,Right,RightTroll,False,1683415466,True,True
AlbertMoreNMore,AlbertMoreNMore,3082043421,Right,RightTroll,False,3082043421,True,True
AlbuquerqueOn,AlbuquerqueOn,802673000000000000,local,NewsFeed,True,,False,True
Aldrich420,Aldrich420,3083086600,Right,RightTroll,False,3083086600,True,True
AlecMooooody,AlecMooooody,1652987412,left,LeftTroll,False,1652987412,True,True
aleesaTrs,aleesaTrs,890000000000000000,Right,RightTroll,False,889764716582764544,True,True
AleksAnisimof,AleksAnisimof,1690488360,Russian,NonEnglish,False,1690488360,True,True
Aleksey_Sokol_,Aleksey_Sokol_,2530603456,Russian,NonEnglish,False,2530603456,True,True
alemichless,alemichless,889000000000000000,Right,RightTroll,False,889238649606475776,True,True
alenazeldina,alenazeldina,2425593713,Russian,NonEnglish,True,,False,True
alesisTrTT,alesisTrTT,889000000000000000,Right,RightTroll,False,888625862865821696,True,True
AlessiaWillson,AlessiaWillson,890000000000000000,Right,RightTroll,False,889582625056337920,True,True
Alex___Ant,Alex___Ant,2404479371,Russian,NonEnglish,False,2404479371,True,True
AlexBoronin,AlexBoronin,2531596635,Russian,NonEnglish,False,2531596635,True,True
Alex_Dugin,Alex_Dugin,2316333755,Russian,NonEnglish,True,,False,True
AlexHarritonov,AlexHarritonov,2586506586,Russian,NonEnglish,False,2586506586,True,True
AlexisFoxie,AlexisFoxie,1552175815,Koch,Fearmonger,False,1552175815,True,True
AlexLovesShenna,AlexLovesShenna,1699424065,Right,RightTroll,False,1699424065,True,True
Alexmmyer,Alexmmyer,4438808536,German,NonEnglish,False,4438808536,True,True
AlexsVladimirov,AlexsVladimirov,2559217373,Russian,NonEnglish,False,2559217373,True,True
AlexWarningU,AlexWarningU,1650915794,Right,RightTroll,True,,False,True
AlexxBelyaev,AlexxBelyaev,2256083366,Russian,NonEnglish,True,,False,True
AlexxdrtrR,AlexxdrtrR,893000000000000000,Right,RightTroll,False,893397699579576320,True,True
AlfNewDay,AlfNewDay,3075819390,?,Unknown,False,3075819390,True,True
AlfredBenBen,AlfredBenBen,3083923623,Right,RightTroll,False,3083923623,True,True
AlfredThree,AlfredThree,2570636705,Right,RightTroll,False,2570636705,True,True
ali27hussein,ali27hussein,3936929596,German,NonEnglish,True,,False,True
alidanilovskaya,alidanilovskaya,2256114786,Russian,NonEnglish,True,,False,True
aliistrr,aliistrr,891000000000000000,Right,RightTroll,False,891202510660259840,True,True
alina_9_1,alina_9_1,2399262052,Russian,NonEnglish,True,,False,True
AlinaAntonchik,AlinaAntonchik,2388865209,Russian,NonEnglish,False,2388865209,True,True
alinalinki_,alinalinki_,2243468839,Russian,NonEnglish,True,,False,True
AlinaNovikov022,AlinaNovikov022,2507661521,Russian,NonEnglish,True,,False,True
AlinaViatkova,AlinaViatkova,2236258532,Russian,NonEnglish,True,,False,True
alisa_fratkina,alisa_fratkina,2255608604,Russian,NonEnglish,True,,False,True
AlisonDavol,AlisonDavol,1647755606,Russian,NonEnglish,True,,False,True
AlizasShield,AlizasShield,1648717616,Right,RightTroll,False,1648717616,True,True
allahomore,allahomore,2240682876,Russian,NonEnglish,True,,False,True
allberrtOss,allberrtOss,893000000000000000,Right,RightTroll,False,893392468502355968,True,True
AllForPetersons,AllForPetersons,1692299954,left,LeftTroll,True,,False,True
AlmostSaintGirl,AlmostSaintGirl,1706359664,Right,RightTroll,True,,False,True
alodoy,alodoy,489911160,Russian,NonEnglish,True,,False,True
AltmanBelinda,AltmanBelinda,3075888895,Right,RightTroll,False,3075888895,True,True
AltmanCoon,AltmanCoon,2402247478,Russian,NonEnglish,True,,False,True
Alva_Mc_ghee,Alva_Mc_ghee,1694331349,?,Unknown,False,1694331349,True,True
AlwaysHungryBae,AlwaysHungryBae,2882130846,?,Unknown,False,2882130846,True,True
AlW_iLL,AlW_iLL,2487536839,Right,RightTroll,False,2487536839,True,True
AlyssaBedolla,AlyssaBedolla,1677511772,Hashtager,HashtagGamer,False,1677511772,True,True
AmaliaHulick3072888643,AmaliaHulick,3072888643,?,Unknown,False,3072888643,True,True
AmaliaHulick777000000000000000,AmaliaHulick,777000000000000000,?,Unknown,False,3072888643,True,True
amalia_petty,amalia_petty,3074433752,Right,RightTroll,False,3074433752,True,True
amamcamcam,amamcamcam,2533115443,Right,RightTroll,False,2533115443,True,True
AmandaVGreen,AmandaVGreen,2616344667,Hashtager,HashtagGamer,False,2616344667,True,True
ambaasTrT,ambaasTrT,889000000000000000,Right,RightTroll,False,888614404002021376,True,True
ambberthTT,ambberthTT,889000000000000000,Right,RightTroll,False,888557448231038976,True,True
AmberDavv,AmberDavv,868000000000000000,?,Unknown,False,867722679213797376,True,True
amberlinetr,amberlinetr,890000000000000000,Right,RightTroll,False,890429331373043712,True,True
amberrPaR,amberrPaR,895000000000000000,Right,RightTroll,False,894787222964101120,True,True
Amconvoice,Amconvoice,904753000000000000,Right,RightTroll,True,,False,True
AmelCreech,AmelCreech,2542133720,Right,RightTroll,False,2542133720,True,True
AmelieBaldwin,AmelieBaldwin,1679279490,Right,RightTroll,False,1679279490,True,True
AmelinaasTR,AmelinaasTR,895000000000000000,Right,RightTroll,False,894789471203336192,True,True
AmericanAlbert,AmericanAlbert,2572374532,Right,RightTroll,True,,False,True
amiistrs,amiistrs,895000000000000000,Right,RightTroll,False,894792229809561600,True,True
AmiraFerrr,AmiraFerrr,1656919058,?,Unknown,False,1656919058,True,True
AmirahPope,AmirahPope,1875143624,left,LeftTroll,False,1875143624,True,True
AmiricanWill,AmiricanWill,4492287077,?,Unknown,False,4492287077,True,True
AmiyahSamuels,AmiyahSamuels,1664838877,Right,RightTroll,False,1664838877,True,True
AmyGrabMyEssay,AmyGrabMyEssay,813407000000000000,Commercial,Commercial,True,,False,True
AmyMusicLL,AmyMusicLL,2619629021,Right,RightTroll,False,2619629021,True,True
amyyslegentr,amyyslegentr,895000000000000000,Right,RightTroll,False,894794223207161856,True,True
amyyssTs,amyyssTs,889000000000000000,Right,RightTroll,False,888654465871622144,True,True
amyythossma,amyythossma,890000000000000000,Right,RightTroll,False,889762342967365632,True,True
AnaaisLEC,AnaaisLEC,895000000000000000,Right,RightTroll,False,894801330912546816,True,True
anaaleSSIs,anaaleSSIs,895000000000000000,Right,RightTroll,False,894798854717140992,True,True
AnastasiaR777,AnastasiaR777,2256974472,Russian,NonEnglish,True,,False,True
AnastassiaZZ,AnastassiaZZ,2252046530,Russian,NonEnglish,False,2252046530,True,True
AnastassiTR,AnastassiTR,895000000000000000,Right,RightTroll,False,894803228520534016,True,True
AnatoliNemcov,AnatoliNemcov,1690617488,Russian,NonEnglish,True,,False,True
AnatolRmnff,AnatolRmnff,1647960109,Russian,NonEnglish,True,,False,True
anbiValentnaya,anbiValentnaya,2257082094,Russian,NonEnglish,True,,False,True
ancarictrS,ancarictrS,895000000000000000,Right,RightTroll,False,894805867853488128,True,True
andeerLWr,andeerLWr,895000000000000000,Right,RightTroll,False,894808551574695936,True,True
andeynesterov,andeynesterov,2573356007,Russian,NonEnglish,False,2573356007,True,True
AndiosmarrTrump,AndiosmarrTrump,871000000000000000,Right,RightTroll,False,870647274833145856,True,True
AndreasEulitz,AndreasEulitz,751000000000000000,German,NonEnglish,False,750675374619627520,True,True
AndreBakin,AndreBakin,2537219464,Russian,NonEnglish,False,2537219464,True,True
andrebeauleger,andrebeauleger,838000000000000000,French,NonEnglish,False,837602096098627584,True,True
AndrejFrolov69,AndrejFrolov69,2395157475,Russian,NonEnglish,True,,False,True
AndrewHeddd,AndrewHeddd,2614742415,Right,RightTroll,False,2614742415,True,True
andrey_lischina,andrey_lischina,34976398,Russian,NonEnglish,False,34976398,True,True
andreyykondrat1,andreyykondrat1,3081457899,Russian,NonEnglish,False,3081457899,True,True
AndrisnaBRT,AndrisnaBRT,895000000000000000,Right,RightTroll,False,894810803190288384,True,True
AndriyCCCP,AndriyCCCP,2433616731,Russian,NonEnglish,True,,False,True
Androfag,Androfag,528550945,Russian,NonEnglish,True,,False,True
AndrreetrT,AndrreetrT,895000000000000000,Right,RightTroll,False,894812412028874752,True,True
AndruninVanya,AndruninVanya,2530734993,Russian,NonEnglish,False,2530734993,True,True
AndryNaumov,AndryNaumov,2438295647,Russian,NonEnglish,False,2438295647,True,True
Andry_Volk,Andry_Volk,2525606217,Russian,NonEnglish,False,2525606217,True,True
andsbxx30,andsbxx30,843000000000000000,?,Unknown,False,843371621343617024,True,True
AndyDrewDaniels,AndyDrewDaniels,2612066397,Hashtager,HashtagGamer,True,,False,True
AndyHashtagger,AndyHashtagger,2878166306,Hashtager,HashtagGamer,True,,False,True
Andy_Puchinskyi,Andy_Puchinskyi,2234468106,Russian,NonEnglish,False,2234468106,True,True
aneelssTrT,aneelssTrT,889000000000000000,Right,RightTroll,False,888660798045925376,True,True
Anettanovgorod,Anettanovgorod,2534361065,Russian,NonEnglish,True,,False,True
AnfinrudSadie,AnfinrudSadie,3084101261,Right,RightTroll,True,,False,True
anfisamickey,anfisamickey,2430976186,Russian,NonEnglish,True,,False,True
AnFraizer,AnFraizer,3085184104,Right,RightTroll,False,3085184104,True,True
ang__bowers,ang__bowers,1653974156,Right,RightTroll,False,1653974156,True,True
angeelisHET,angeelisHET,895000000000000000,Right,RightTroll,False,894823022317752320,True,True
angeelistr,angeelistr,895000000000000000,Right,RightTroll,False,894815179208368128,True,True
angelabach991,angelabach991,753000000000000000,German,NonEnglish,False,752890677374152704,True,True
angela_lattke,angela_lattke,753000000000000000,German,NonEnglish,False,752824695452491776,True,True
AngelikaMusi,AngelikaMusi,2391428943,Russian,NonEnglish,True,,False,True
angelikorotkova,angelikorotkova,2523086968,Russian,NonEnglish,True,,False,True
angelinaDarcy_,angelinaDarcy_,2405227366,Russian,NonEnglish,True,,False,True
angelinaladova,angelinaladova,2185479560,Russian,NonEnglish,True,,False,True
angelistRR,angelistRR,895000000000000000,Right,RightTroll,False,894820555421089792,True,True
angeliTHss,angeliTHss,895000000000000000,Right,RightTroll,False,894818045134331904,True,True
AngeloEnough,AngeloEnough,3083491827,Right,RightTroll,True,,False,True
AngisDOOyl,AngisDOOyl,895000000000000000,Right,RightTroll,False,894824964431515648,True,True
AngtheesTR,AngtheesTR,895000000000000000,Right,RightTroll,False,894858528174878720,True,True
aniiAntrs,aniiAntrs,895000000000000000,Right,RightTroll,False,894845726840283136,True,True
anisaCrrutr,anisaCrrutr,895000000000000000,Right,RightTroll,False,894831603775488000,True,True
AnisiLOpe,AnisiLOpe,895000000000000000,Right,RightTroll,False,894835103225880576,True,True
anissNovotr,anissNovotr,895000000000000000,Right,RightTroll,False,894827651289931776,True,True
anitabr1994,anitabr1994,3359591969,Right,RightTroll,False,3359591969,True,True
anitaloveheart,anitaloveheart,1879281841,Right,RightTroll,True,,False,True
ANJELICAFAMOUS,ANJELICAFAMOUS,2254545362,Russian,NonEnglish,True,,False,True
ankidinovakira,ankidinovakira,2283582702,Russian,NonEnglish,False,,False,True
Ann1eMcconnell,Ann1eMcconnell,1529934134,Right,RightTroll,True,,False,True
an_na__an,an_na__an,1649897624,Right,RightTroll,False,1649897624,True,True
annabezguzikova,annabezguzikova,2420825937,Russian,NonEnglish,True,,False,True
AnnaMarfina,AnnaMarfina,734605554,Russian,NonEnglish,True,,False,True
AnnamIngT,AnnamIngT,895000000000000000,Right,RightTroll,False,894837607061831680,True,True
AnnaRoman0,AnnaRoman0,839000000000000000,Italian,NonEnglish,False,838682742229504000,True,True
_Anna_Sanna_,_Anna_Sanna_,2499828724,Russian,NonEnglish,True,,False,True
anna_vysokaya,anna_vysokaya,2429045794,Russian,NonEnglish,True,,False,True
Ann__Bogdanova,Ann__Bogdanova,2525916477,Russian,NonEnglish,True,,False,True
AnnetteTeal1,AnnetteTeal1,1648082622,Russian,NonEnglish,True,,False,True
An_n_gaston,An_n_gaston,1672104320,Right,RightTroll,False,1672104320,True,True
Ann_HanAh,Ann_HanAh,1649593796,Right,RightTroll,False,1649593796,True,True
AnniEisbear,AnniEisbear,4491587915,German,NonEnglish,False,4491587915,True,True
AnniePoshes,AnniePoshes,2500690416,Hashtager,HashtagGamer,True,,False,True
annijonstr,annijonstr,895000000000000000,Right,RightTroll,False,894843778544132096,True,True
AnnSam_Sam,AnnSam_Sam,2588305938,Russian,NonEnglish,True,,False,True
Anny_dubi,Anny_dubi,2514605158,Russian,NonEnglish,True,,False,True
anoraVerd,anoraVerd,2420913106,Russian,NonEnglish,True,,False,True
anossovv,anossovv,2412781570,Russian,NonEnglish,True,,False,True
AnthonyCanlass,AnthonyCanlass,1850911106,Hashtager,HashtagGamer,False,1850911106,True,True
anthonycartr,anthonycartr,1647145754,left,LeftTroll,False,1647145754,True,True
AnthonyWoodboy,AnthonyWoodboy,1724391738,Right,RightTroll,False,1724391738,True,True
AntieHarmon,AntieHarmon,1677582914,Hashtager,HashtagGamer,False,1677582914,True,True
AntonFromSPb,AntonFromSPb,2441889653,Russian,NonEnglish,True,,False,True
AntonHayHay,AntonHayHay,1652262638,left,LeftTroll,False,1652262638,True,True
AntoninaPervay,AntoninaPervay,1963417255,Russian,NonEnglish,False,1963417255,True,True
Antonovmenmenco,Antonovmenmenco,2790253993,Russian,NonEnglish,False,2790253993,True,True
antonrumss,antonrumss,895000000000000000,Right,RightTroll,False,894860350989979648,True,True
AntoshaKargin,AntoshaKargin,2429575168,Russian,NonEnglish,True,,False,True
antyshevalida,antyshevalida,2176656954,Russian,NonEnglish,True,,False,True
AnwarGafur,AnwarGafur,1712506765,Russian,NonEnglish,True,,False,True
AnwarJamil22,AnwarJamil22,2440755969,Russian,NonEnglish,True,,False,True
Anya_Isa1282,Anya_Isa1282,2233895016,Russian,NonEnglish,True,,False,True
anzgri,anzgri,87588938,Russian,NonEnglish,False,87588938,True,True
apriildTruT,apriildTruT,889000000000000000,Right,RightTroll,False,888534962122752000,True,True
AprrilsBruss,AprrilsBruss,895000000000000000,Right,RightTroll,False,894862126862479360,True,True
Apuhna,Apuhna,734887646,Russian,NonEnglish,True,,False,True
arabmtr,arabmtr,891000000000000000,Right,RightTroll,False,891230914629521408,True,True
aragartrr,aragartrr,891000000000000000,Right,RightTroll,False,891225084635090944,True,True
ArchieOlivers,ArchieOlivers,1686370159,Right,RightTroll,False,1686370159,True,True
arestovevg,arestovevg,2447539329,Russian,NonEnglish,True,,False,True
ArgentinaCatle1,ArgentinaCatle1,4440342138,left,LeftTroll,True,,False,True
ariaanst,ariaanst,895000000000000000,Right,RightTroll,False,894873426577551360,True,True
Arianna_Per_ry,Arianna_Per_ry,1734595513,Koch,Fearmonger,True,,False,True
arieensLpe,arieensLpe,895000000000000000,Right,RightTroll,False,894868166756769792,True,True
Arielle_Brownin,Arielle_Brownin,2620631626,?,Unknown,False,2620631626,True,True
ArielShining,ArielShining,1527687456,Right,RightTroll,False,1527687456,True,True
arina_rondal,arina_rondal,2415574043,Russian,NonEnglish,True,,False,True
arisgrays,arisgrays,895000000000000000,Right,RightTroll,False,894870422818357248,True,True
arkadii_trofim,arkadii_trofim,2582643409,Russian,NonEnglish,False,2582643409,True,True
ArkadShihkin,ArkadShihkin,2427165737,Russian,NonEnglish,False,2427165737,True,True
arkhipovichivna,arkhipovichivna,1710729866,Russian,NonEnglish,True,,False,True
Arkhipovtioveof,Arkhipovtioveof,2790352525,Russian,NonEnglish,False,2790352525,True,True
Arm_2_Alan,Arm_2_Alan,1671936266,Right,RightTroll,False,1671936266,True,True
ArmedFrejya,ArmedFrejya,4234360936,Right,RightTroll,False,4234360936,True,True
arnoldparrk,arnoldparrk,1580700565,Koch,Fearmonger,False,1580700565,True,True
AronHolden8,AronHolden8,2753257234,Hashtager,HashtagGamer,True,,False,True
arons_kwende,arons_kwende,1712920338,Russian,NonEnglish,True,,False,True
Arseni_Roman,Arseni_Roman,2429465939,Russian,NonEnglish,False,2429465939,True,True
artautumn,artautumn,72581988,Russian,NonEnglish,True,,False,True
ArtemBogachenko,ArtemBogachenko,2530280266,Ukranian,NonEnglish,True,,False,True
artemmplotnikov,artemmplotnikov,2418447946,Russian,NonEnglish,True,,False,True
artem_polishhuk,artem_polishhuk,3121136128,Russian,NonEnglish,False,3121136128,True,True
artemssFE,artemssFE,895000000000000000,Right,RightTroll,False,895011564591263744,True,True
ArthClaudia,ArthClaudia,2574417039,Koch,Fearmonger,False,2574417039,True,True
ArtKorchunov,ArtKorchunov,2570247131,Russian,NonEnglish,False,2570247131,True,True
artur__2014,artur__2014,2276624017,Russian,NonEnglish,True,,False,True
ArturBuranof,ArturBuranof,2233297178,Russian,NonEnglish,False,2233297178,True,True
ArtyrTolstov,ArtyrTolstov,2195152184,Russian,NonEnglish,True,,False,True
AryannaJ0nes,AryannaJ0nes,1696435466,Hashtager,HashtagGamer,False,1696435466,True,True
arzhanovaaa,arzhanovaaa,2474392311,Russian,NonEnglish,True,,False,True
AsdiqaRussiya,AsdiqaRussiya,4643276953,Arabic,NonEnglish,False,4643276953,True,True
ashleecollinss,ashleecollinss,1650709597,?,Unknown,False,1650709597,True,True
AshleeYWEs,AshleeYWEs,895000000000000000,Right,RightTroll,False,895220436581191680,True,True
Ashley_Kri,Ashley_Kri,1530027038,Right,RightTroll,False,1530027038,True,True
ashleysimpsn,ashleysimpsn,1649367912,Hashtager,HashtagGamer,False,1649367912,True,True
assuncaowallas,assuncaowallas,3072627228,left,LeftTroll,True,,False,True
aswwimMOrris,aswwimMOrris,895000000000000000,Right,RightTroll,False,895224264424648704,True,True
AsyaArrive,AsyaArrive,2267612060,Russian,NonEnglish,True,,False,True
Atif_Shaikh_me,Atif_Shaikh_me,4724544963,left,LeftTroll,True,,False,True
Atlanta_Online,Atlanta_Online,2944766250,local,NewsFeed,False,2944766250,True,True
AtulScarpa,AtulScarpa,2446391643,Russian,NonEnglish,True,,False,True
au_norton,au_norton,2574002009,?,Unknown,False,2574002009,True,True
AurrlisTR,AurrlisTR,895000000000000000,Right,RightTroll,False,895227796661915648,True,True
AustinLovesBeer,AustinLovesBeer,2497991305,Right,RightTroll,False,2497991305,True,True
AveerTesT,AveerTesT,889000000000000000,Right,RightTroll,False,888633415146364928,True,True
AveregeAnna,AveregeAnna,3085659669,left,LeftTroll,False,3085659669,True,True
aviapres,aviapres,2581834864,Russian,NonEnglish,False,2581834864,True,True
AvrylStewart,AvrylStewart,866000000000000000,Right,RightTroll,False,866294178233241600,True,True
ayanna__0,ayanna__0,1583418072,Right,RightTroll,False,1583418072,True,True
AydenBoston,AydenBoston,1646337218,left,LeftTroll,False,1646337218,True,True
Ayleensclar,Ayleensclar,895000000000000000,Right,RightTroll,False,895231612757176320,True,True
aziiz_hadith,aziiz_hadith,3092324567,?,Unknown,False,3092324567,True,True
AzuuMarSS,AzuuMarSS,895000000000000000,Right,RightTroll,False,895235638558982144,True,True
baailst,baailst,889000000000000000,Right,RightTroll,False,888657623368773632,True,True
babchenkova,babchenkova,383927282,Russian,NonEnglish,True,,False,True
BABCHENKOVA_EVA,BABCHENKOVA_EVA,3487717396,Spanish,NonEnglish,True,,False,False
babichevaSonya,babichevaSonya,2396703045,Russian,NonEnglish,True,,False,True
BabyJannyMeow,BabyJannyMeow,2532835560,Hashtager,HashtagGamer,True,,False,True
BaconTonia,BaconTonia,3072103795,Right,RightTroll,False,3072103795,True,True
badaevViktor,badaevViktor,2432887275,Russian,NonEnglish,True,,False,True
Badr_Earabi,Badr_Earabi,4644253788,Arabic,NonEnglish,False,4644253788,True,True
BakingBekker,BakingBekker,3090485626,Right,RightTroll,False,3090485626,True,True
balasikavow,balasikavow,2236383523,Russian,NonEnglish,False,2236383523,True,True
balldomer,balldomer,2237850157,Russian,NonEnglish,True,,False,True
BallllWalt,BallllWalt,1692920365,Hashtager,HashtagGamer,False,1692920365,True,True
Baltimore0nline,Baltimore0nline,3071479646,local,NewsFeed,False,3071479646,True,True
bambisMuT,bambisMuT,889000000000000000,Right,RightTroll,False,889260662005915648,True,True
BAmmbjoltr,BAmmbjoltr,895000000000000000,Right,RightTroll,False,895238811982020608,True,True
bannovamari,bannovamari,2266579400,Russian,NonEnglish,True,,False,True
BanttaNantta,BanttaNantta,2537243471,Russian,NonEnglish,False,2537243471,True,True
BaoBaeHam,BaoBaeHam,1658420976,left,LeftTroll,False,1658420976,True,True
barabashV2,barabashV2,2248849999,Russian,NonEnglish,True,,False,True
