author_id,language,tweet_count
acejinev,Malay,1
acejinev,Japanese,1
AchsahOrkhan,English,5
activemikr,English,1
adalesTrTM,English,3
AdamChapmanJR,English,1472
AdamChapmanJR,Spanish,2
AdamChapmanJR,Danish,1
AdamChapmanJR,Italian,3
AdamChapmanJR,Somali,1
AdamChapmanJR,Portuguese,2
AdamChapmanJR,Icelandic,1
AdamChapmanJR,Indonesian,1
AdamChapmanJR,Vietnamese,7
AdamChapmanJR,Farsi (Persian),1
AdamChapmanJR,Uzbek,1
AdamChapmanJR,Estonian,1
AdamChapmanJR,Arabic,4
AdamChapmanJR,French,1
AdamChapmanJR,Japanese,1
adamma_defond,Russian,611
adamma_defond,Macedonian,10
adamma_defond,Ukrainian,50
adamma_defond,Bulgarian,10
adamma_defond,Serbian,10
adamma_defond,Uzbek,7
adamma_defond,English,2
Adam_Mathisss,English,45
Addie_Hol,English,145
Addie_Hol,Pushto,1
Addie_Hol,Catalan,1
Addie_Hol,Slovak,1
Addie_Hol,Norwegian,1
adele_brock,English,118
adele_brock,French,2
adele_brock,Dutch,4
adele_brock,Arabic,1
adele_brock,Farsi (Persian),1
AdeliinesTrT,English,7
Adeline_Gs,English,27
adelisTrTT,English,7
adkezlate,English,87
adkezlate,Farsi (Persian),1
adleestTT,English,3
adleeswod,English,6
adnnelstr,English,6362
adnnelstr,Spanish,1
AdrGreerr,English,1867
AdrGreerr,Portuguese,2
AdrGreerr,Arabic,3
AdrGreerr,Uzbek,3
AdrGreerr,Dutch,2
AdrGreerr,Romanian,1
AdrGreerr,Italian,3
AdrGreerr,Spanish,4
AdrGreerr,French,5
AdrGreerr,Farsi (Persian),2
AdrGreerr,Albanian,1
AdrGreerr,Estonian,1
AdrGreerr,Icelandic,1
AdrGreerr,Catalan,1
AdrGreerr,Turkish,1
AdrianaMfttt,English,99
adriasnss,English,329
adriasnss,Spanish,1
Adrienne_GG,English,2810
Adrienne_GG,French,3
Adrienne_GG,Italian,9
Adrienne_GG,Catalan,8
Adrienne_GG,Pushto,13
Adrienne_GG,Norwegian,6
Adrienne_GG,Finnish,2
Adrienne_GG,Icelandic,2
Adrienne_GG,German,3
Adrienne_GG,Romanian,9
Adrienne_GG,Albanian,3
Adrienne_GG,Croatian,1
Adrienne_GG,Spanish,7
Adrienne_GG,Tagalog (Filipino),2
Adrienne_GG,Farsi (Persian),6
Adrienne_GG,Estonian,4
Adrienne_GG,Dutch,2
Adrienne_GG,Uzbek,1
Adrienne_GG,Slovak,1
Adrienne_GG,Lithuanian,1
Adrienne_GG,Arabic,5
Adrienne_GG,Portuguese,1
Adrienne_GG,Latvian,1
Adri_Low_r,English,52
Adri_Low_r,Italian,1
AEsparzza,English,9
afeeliutr,English,1390
afeeliutr,Spanish,2
AfifyAmira1,English,82
Afonia_Zhilcov,Russian,399
Afonia_Zhilcov,Ukrainian,18
Afonia_Zhilcov,Uzbek,4
Afonia_Zhilcov,Macedonian,3
Afonia_Zhilcov,Serbian,5
Afonia_Zhilcov,Bulgarian,4
AfoninMixail,Russian,423
AfoninMixail,Ukrainian,24
AfoninMixail,Macedonian,3
AfoninMixail,English,2
AfoninMixail,Bulgarian,3
AfoninMixail,Uzbek,3
AfoninMixail,Lithuanian,1
AfoninMixail,Serbian,3
africavserdce,Russian,399
africavserdce,Ukrainian,26
africavserdce,Uzbek,5
africavserdce,Macedonian,4
africavserdce,Bulgarian,3
africavserdce,Serbian,5
AFuckInside,English,46
AgafonMe,Russian,146
AgafonMe,Ukrainian,8
AgafonMe,English,127
AgafonMe,Italian,2
AgafonMe,Uzbek,3
AgafonMe,Bulgarian,3
AgafonMe,Spanish,1
AgafonMe,Macedonian,1
AgafonMe,Serbian,2
AgafonMe,Croatian,1
AgainUkrFake,LANGUAGE UNDEFINED,3
agata_alexeeva,Russian,521
agata_alexeeva,Ukrainian,30
agata_alexeeva,Bulgarian,5
agata_alexeeva,Serbian,5
agata_alexeeva,Uzbek,7
agata_alexeeva,Macedonian,2
AgitPolk,Russian,354
AgitPolk,English,5
AgitPolk,Ukrainian,17
AgitPolk,Uzbek,3
AgitPolk,Serbian,1
AgitPolk,Macedonian,2
agnesgrhm,English,156
agnesgrhm,Italian,1
agnesgrhm,Dutch,1
agnesmltrT,English,3
agnessTrYT,English,6
ahmadhusseinii,Arabic,174
ahmadhusseinii,English,9
ahmadhusseinii,Farsi (Persian),2
ahmadhusseinii,Pushto,2
ahmadradjab,Russian,87
ahmadradjab,Ukrainian,10
ahmadradjab,Bulgarian,4
ahmadradjab,Serbian,2
ahmadradjab,Arabic,2
ahmadradjab,English,4
AhmadYousef23,English,8
AhmadYousef23,Arabic,1
AhmadYusuff03,English,3
AhmadYusuff03,Arabic,245
AhmadYusuff03,Farsi (Persian),5
AhmadYusuff03,Russian,5
AhmadYusuff03,Pushto,2
ahmansour91061,Croatian,1
ahmansour91061,English,11
ahmansour91061,Arabic,1
ahmansour91061,German,6
ahNordyk,Russian,503
ahNordyk,Macedonian,5
ahNordyk,Serbian,10
ahNordyk,Ukrainian,33
ahNordyk,Uzbek,7
ahNordyk,Bulgarian,4
AHogan_Am,English,59
AHogan_Am,Romanian,1
AHogan_Am,Norwegian,1
ah_veroniki,Russian,1035
ah_veroniki,Ukrainian,64
ah_veroniki,Bulgarian,8
ah_veroniki,Serbian,14
ah_veroniki,Uzbek,19
ah_veroniki,Arabic,1
ah_veroniki,English,1
ah_veroniki,Macedonian,6
Aiden7757,English,3069
Aiden7757,French,4
Aiden7757,Italian,8
Aiden7757,Romanian,4
Aiden7757,Portuguese,1
Aiden7757,Hungarian,1
Aiden7757,Estonian,4
Aiden7757,Norwegian,8
Aiden7757,Finnish,2
Aiden7757,German,3
Aiden7757,Latvian,1
Aiden7757,Spanish,3
Aiden7757,Farsi (Persian),7
Aiden7757,Catalan,3
Aiden7757,Albanian,4
Aiden7757,Arabic,1
Aiden7757,Tagalog (Filipino),1
Aiden7757,Slovak,2
Aiden7757,Swedish,1
Aiden7757,LANGUAGE UNDEFINED,1
Aiden7757,Icelandic,3
Aiden7757,Dutch,2
Aiden7757,Pushto,1
Aiden7757,Somali,2
Aiden7757,Croatian,1
Aiden7757,Czech,1
Aiden7757,Polish,1
Aiden7757,Serbian,1
Aiden7757,Lithuanian,1
Aiden7757,Malay,1
akoromyslova,Russian,11
akoromyslova,Bulgarian,2
alanisstrs,English,1102
alanisstrs,Spanish,1
alanisstrs,Albanian,1
alaxxaTR,English,861
alaxxaTR,Spanish,1
alaxxaTrT,English,6
albelitaTrTs,English,6
Alberta_Hayness,English,97
Alberta_Hayness,Spanish,1
Alberta_Hayness,Farsi (Persian),1
Alberta_Hayness,Dutch,1
Alberta_Hayness,Romanian,1
AlbertMoreNMore,English,1084
AlbertMoreNMore,Croatian,1
AlbertMoreNMore,Spanish,4
AlbertMoreNMore,Portuguese,1
AlbertMoreNMore,Italian,1
AlbertMoreNMore,Arabic,2
AlbertMoreNMore,Dutch,2
AlbertMoreNMore,Pushto,2
AlbertMoreNMore,Norwegian,2
AlbertMoreNMore,Catalan,1
AlbuquerqueOn,English,2823
AlbuquerqueOn,Spanish,6
AlbuquerqueOn,Catalan,4
AlbuquerqueOn,Italian,1
AlbuquerqueOn,Swedish,1
Aldrich420,English,3481
Aldrich420,Romanian,2
Aldrich420,Farsi (Persian),1
Aldrich420,Italian,1
Aldrich420,Turkish,1
Aldrich420,Catalan,1
Aldrich420,Croatian,1
Aldrich420,Arabic,1
Aldrich420,Dutch,2
Aldrich420,Vietnamese,1
Aldrich420,French,2
Aldrich420,German,1
Aldrich420,Hungarian,1
AlecMooooody,English,8310
AlecMooooody,Italian,12
AlecMooooody,Albanian,3
AlecMooooody,Russian,1
AlecMooooody,Arabic,7
AlecMooooody,Korean,1
AlecMooooody,Vietnamese,4
AlecMooooody,Spanish,6
AlecMooooody,Dutch,2
AlecMooooody,French,6
AlecMooooody,Estonian,3
AlecMooooody,Lithuanian,1
AlecMooooody,Farsi (Persian),1
AlecMooooody,Polish,1
AlecMooooody,Uzbek,1
AlecMooooody,German,2
AlecMooooody,Hungarian,1
AlecMooooody,Japanese,1
AlecMooooody,Norwegian,2
AlecMooooody,Catalan,1
AlecMooooody,Romanian,1
AlecMooooody,Icelandic,1
AlecMooooody,Latvian,1
aleesaTrs,English,5
aleesaTrs,Arabic,1
AleksAnisimof,Macedonian,1
AleksAnisimof,Russian,4
Aleksey_Sokol_,Russian,723
Aleksey_Sokol_,English,161
Aleksey_Sokol_,Serbian,9
Aleksey_Sokol_,Ukrainian,44
Aleksey_Sokol_,Uzbek,7
Aleksey_Sokol_,Bulgarian,5
Aleksey_Sokol_,Macedonian,8
Aleksey_Sokol_,French,1
Aleksey_Sokol_,Arabic,1
alemichless,English,3
alenazeldina,Russian,441
alenazeldina,Uzbek,5
alenazeldina,Bulgarian,6
alenazeldina,Ukrainian,37
alenazeldina,Hebrew,1
alenazeldina,Macedonian,4
alenazeldina,Serbian,2
alenazeldina,English,1
alesisTrTT,English,6
AlessiaWillson,English,35
AlessiaWillson,Arabic,1
AlexBoronin,Russian,49
AlexBoronin,English,1
AlexBoronin,Ukrainian,3
AlexBoronin,Macedonian,1
AlexBoronin,Serbian,1
AlexHarritonov,Russian,1694
AlexHarritonov,English,434
AlexHarritonov,Ukrainian,100
AlexHarritonov,Bulgarian,26
AlexHarritonov,Serbian,13
AlexHarritonov,Uzbek,28
AlexHarritonov,Spanish,3
AlexHarritonov,Macedonian,20
AlexHarritonov,Italian,3
AlexHarritonov,German,2
AlexHarritonov,Finnish,1
AlexHarritonov,Lithuanian,2
AlexHarritonov,Estonian,1
AlexHarritonov,Norwegian,1
AlexHarritonov,Farsi (Persian),1
AlexHarritonov,French,3
AlexisFoxie,English,77
AlexisFoxie,Dutch,1
AlexLovesShenna,English,24
Alexmmyer,English,63
Alexmmyer,German,149
Alexmmyer,Turkish,2
Alexmmyer,Swedish,1
AlexsVladimirov,Russian,621
AlexsVladimirov,Bulgarian,94
AlexsVladimirov,English,176
AlexsVladimirov,Ukrainian,30
AlexsVladimirov,Spanish,34
AlexsVladimirov,Macedonian,5
AlexsVladimirov,Portuguese,2
AlexsVladimirov,Serbian,5
AlexsVladimirov,Uzbek,4
AlexsVladimirov,Slovenian,1
AlexsVladimirov,Arabic,1
AlexsVladimirov,Catalan,1
AlexWarningU,English,92
AlexxBelyaev,Russian,389
AlexxBelyaev,Bulgarian,4
AlexxBelyaev,Ukrainian,24
AlexxBelyaev,Serbian,6
AlexxBelyaev,Spanish,1
AlexxBelyaev,Uzbek,6
AlexxBelyaev,Macedonian,3
AlexxdrtrR,English,3266
AlexxdrtrR,Spanish,4
AlexxdrtrR,Albanian,1
AlexxdrtrR,Tagalog (Filipino),1
AlexxdrtrR,Norwegian,2
AlexxdrtrR,Croatian,1
AlexxdrtrR,Italian,4
AlexxdrtrR,Dutch,1
AlexxdrtrR,German,2
AlexxdrtrR,Finnish,2
AlexxdrtrR,Catalan,2
Alex_Dugin,Russian,1248
Alex_Dugin,Uzbek,14
Alex_Dugin,Serbian,14
Alex_Dugin,Ukrainian,86
Alex_Dugin,Macedonian,7
Alex_Dugin,Bulgarian,11
Alex___Ant,Russian,57
Alex___Ant,Serbian,2
Alex___Ant,Ukrainian,7
AlfNewDay,English,2
AlfredBenBen,Urdu,1
AlfredBenBen,English,24
AlfredThree,English,222
AlfredThree,Uzbek,1
AlfredThree,Catalan,1
ali27hussein,LANGUAGE UNDEFINED,1
ali27hussein,Arabic,3
ali27hussein,German,8
ali27hussein,English,9
alidanilovskaya,Russian,2
aliistrr,English,1629
aliistrr,Spanish,2
aliistrr,Norwegian,1
AlinaAntonchik,Bulgarian,2
AlinaAntonchik,Russian,11
AlinaAntonchik,Ukrainian,1
alinalinki_,Ukrainian,30
alinalinki_,Macedonian,2
alinalinki_,Russian,482
alinalinki_,Uzbek,4
alinalinki_,English,1
alinalinki_,Bulgarian,4
alinalinki_,Serbian,7
alinalinki_,Turkish,1
AlinaNovikov022,Russian,451
AlinaNovikov022,Ukrainian,38
AlinaNovikov022,Serbian,5
AlinaNovikov022,Uzbek,4
AlinaNovikov022,English,2
AlinaNovikov022,Bulgarian,6
AlinaNovikov022,Macedonian,2
AlinaViatkova,Russian,438
AlinaViatkova,Ukrainian,23
AlinaViatkova,Serbian,7
AlinaViatkova,Uzbek,9
AlinaViatkova,Macedonian,2
AlinaViatkova,Bulgarian,7
alina_9_1,Russian,675
alina_9_1,Serbian,12
alina_9_1,Ukrainian,44
alina_9_1,Macedonian,8
alina_9_1,Uzbek,10
alina_9_1,English,2
alina_9_1,Bulgarian,7
alisa_fratkina,Russian,438
alisa_fratkina,Ukrainian,29
alisa_fratkina,Macedonian,4
alisa_fratkina,Uzbek,6
alisa_fratkina,Bulgarian,4
alisa_fratkina,Serbian,5
alisa_fratkina,English,1
AlisonDavol,Russian,443
AlisonDavol,Ukrainian,34
AlisonDavol,Uzbek,2
AlisonDavol,English,3
AlisonDavol,Serbian,10
AlisonDavol,Bulgarian,5
AlisonDavol,Macedonian,3
AlizasShield,English,80
allahomore,Russian,412
allahomore,Ukrainian,27
allahomore,Serbian,12
allahomore,Bulgarian,4
allahomore,Macedonian,6
allahomore,Uzbek,2
allahomore,English,2
allberrtOss,English,960
allberrtOss,Spanish,1
allberrtOss,Italian,1
AllForPetersons,English,25
AllForPetersons,French,3
AlmostSaintGirl,English,90
AlmostSaintGirl,Farsi (Persian),1
AlmostSaintGirl,Vietnamese,1
AlmostSaintGirl,Uzbek,1
alodoy,Russian,22
AltmanBelinda,English,138
AltmanBelinda,French,1
AltmanCoon,Russian,442
AltmanCoon,Ukrainian,36
AltmanCoon,Serbian,5
AltmanCoon,Macedonian,5
AltmanCoon,Uzbek,4
AltmanCoon,Bulgarian,4
AltmanCoon,English,1
Alva_Mc_ghee,English,128
Alva_Mc_ghee,Norwegian,1
Alva_Mc_ghee,French,1
Alva_Mc_ghee,Urdu,1
Alva_Mc_ghee,Somali,1
Alva_Mc_ghee,Romanian,1
AlwaysHungryBae,English,1
AlW_iLL,English,43
AlyssaBedolla,English,334
AlyssaBedolla,German,1
AlyssaBedolla,Arabic,1
AlyssaBedolla,Farsi (Persian),3
AlyssaBedolla,Norwegian,1
AlyssaBedolla,Albanian,2
AlyssaBedolla,Finnish,1
AlyssaBedolla,Vietnamese,1
AlyssaBedolla,Lithuanian,1
AmaliaHulick3072888643,English,1
AmaliaHulick777000000000000000,English,4
amalia_petty,English,86
amamcamcam,English,84
AmandaVGreen,English,4233
AmandaVGreen,Lithuanian,1
AmandaVGreen,Norwegian,14
AmandaVGreen,Vietnamese,2
AmandaVGreen,Polish,4
AmandaVGreen,Romanian,10
AmandaVGreen,Croatian,5
AmandaVGreen,Catalan,3
AmandaVGreen,Dutch,5
AmandaVGreen,Turkish,3
AmandaVGreen,Albanian,4
AmandaVGreen,Uzbek,4
AmandaVGreen,Italian,9
AmandaVGreen,French,7
AmandaVGreen,Arabic,5
AmandaVGreen,Portuguese,2
AmandaVGreen,Estonian,6
AmandaVGreen,Farsi (Persian),6
AmandaVGreen,Tagalog (Filipino),1
AmandaVGreen,Finnish,3
AmandaVGreen,Icelandic,2
AmandaVGreen,Malay,1
AmandaVGreen,Swedish,2
AmandaVGreen,Danish,1
AmandaVGreen,Japanese,1
AmandaVGreen,German,5
AmandaVGreen,Slovak,1
AmandaVGreen,Spanish,4
ambaasTrT,English,6
ambberthTT,English,151
ambberthTT,Arabic,1
AmberDavv,LANGUAGE UNDEFINED,1
AmberDavv,English,6
amberlinetr,English,3008
amberlinetr,Finnish,1
amberlinetr,Vietnamese,2
amberlinetr,Turkish,1
amberlinetr,Tagalog (Filipino),1
amberlinetr,Icelandic,2
amberlinetr,Romanian,1
amberlinetr,Spanish,4
amberlinetr,Albanian,1
amberlinetr,Dutch,1
amberlinetr,Italian,3
amberrPaR,English,1228
amberrPaR,Spanish,1
amberrPaR,Kurdish,2
Amconvoice,English,370
AmelCreech,English,46
AmelieBaldwin,English,34416
AmelieBaldwin,French,344
AmelieBaldwin,Italian,98
AmelieBaldwin,Swedish,26
AmelieBaldwin,Norwegian,9
AmelieBaldwin,Dutch,110
AmelieBaldwin,Spanish,81
AmelieBaldwin,Indonesian,1
AmelieBaldwin,Croatian,10
AmelieBaldwin,Japanese,53
AmelieBaldwin,German,66
AmelieBaldwin,Catalan,6
AmelieBaldwin,Portuguese,38
AmelieBaldwin,Malay,2
AmelieBaldwin,Urdu,3
AmelieBaldwin,Romanian,9
AmelieBaldwin,Tagalog (Filipino),5
AmelieBaldwin,Uzbek,4
AmelieBaldwin,Albanian,5
AmelieBaldwin,Hebrew,5
AmelieBaldwin,Slovenian,5
AmelieBaldwin,Arabic,8
AmelieBaldwin,Farsi (Persian),10
AmelieBaldwin,Somali,3
AmelieBaldwin,Vietnamese,6
AmelieBaldwin,Lithuanian,3
AmelieBaldwin,Estonian,3
AmelieBaldwin,Hungarian,3
AmelieBaldwin,Icelandic,2
AmelieBaldwin,Korean,1
AmelieBaldwin,Hindi,15
AmelieBaldwin,Latvian,3
AmelieBaldwin,Greek,2
AmelieBaldwin,Ukrainian,1
AmelieBaldwin,Russian,2
AmelieBaldwin,Simplified Chinese,1
AmelieBaldwin,Turkish,5
AmelieBaldwin,Czech,1
AmelieBaldwin,Danish,1
AmelieBaldwin,Polish,1
AmelieBaldwin,Slovak,2
AmelieBaldwin,Finnish,2
AmelinaasTR,English,832
AmelinaasTR,Spanish,1
AmelinaasTR,Italian,1
AmericanAlbert,English,414
AmericanAlbert,Italian,1
AmericanAlbert,Romanian,1
AmericanAlbert,Spanish,1
amiistrs,English,815
amiistrs,Spanish,1
AmiraFerrr,English,20
AmiraFerrr,Arabic,1
AmiraFerrr,Pushto,1
AmirahPope,English,53
AmirahPope,Romanian,8
AmirahPope,Russian,1
AmiricanWill,English,31
AmiricanWill,French,1
AmiricanWill,German,8
AmiyahSamuels,English,178
AmiyahSamuels,Indonesian,1
AmiyahSamuels,Finnish,1
AmiyahSamuels,German,1
AmyGrabMyEssay,English,337
AmyGrabMyEssay,French,2
AmyMusicLL,English,49
amyyslegentr,English,1217
amyyslegentr,Spanish,1
amyyslegentr,Latvian,1
amyyssTs,English,3
amyythossma,Arabic,1
amyythossma,English,5
AnaaisLEC,English,2523
AnaaisLEC,Spanish,1
AnaaisLEC,Italian,3
AnaaisLEC,Lithuanian,1
AnaaisLEC,Arabic,1
AnaaisLEC,French,1
AnaaisLEC,German,1
AnaaisLEC,Indonesian,1
AnaaisLEC,Albanian,2
AnaaisLEC,Farsi (Persian),1
anaaleSSIs,English,1407
anaaleSSIs,Spanish,1
anaaleSSIs,Catalan,2
anaaleSSIs,Albanian,1
AnastasiaR777,Russian,452
AnastasiaR777,Ukrainian,27
AnastasiaR777,Uzbek,6
AnastasiaR777,Serbian,5
AnastasiaR777,Macedonian,2
AnastasiaR777,Bulgarian,5
AnastasiaR777,English,1
AnastassiaZZ,Russian,705
AnastassiaZZ,Macedonian,3
AnastassiaZZ,English,3
AnastassiaZZ,Uzbek,32
AnastassiaZZ,Bulgarian,2
AnastassiaZZ,Ukrainian,40
AnastassiaZZ,Serbian,6
AnastassiTR,English,292
AnastassiTR,Spanish,1
AnatoliNemcov,Ukrainian,39
AnatoliNemcov,Russian,566
AnatoliNemcov,Macedonian,4
AnatoliNemcov,Serbian,6
AnatoliNemcov,Uzbek,5
AnatoliNemcov,Bulgarian,5
AnatoliNemcov,English,2
AnatoliNemcov,French,1
AnatolRmnff,Russian,5
AnatolRmnff,Ukrainian,2
anbiValentnaya,Uzbek,4
anbiValentnaya,Russian,384
anbiValentnaya,Ukrainian,28
anbiValentnaya,Macedonian,4
anbiValentnaya,Bulgarian,4
anbiValentnaya,Serbian,9
ancarictrS,English,272
ancarictrS,Spanish,1
andeerLWr,English,674
andeerLWr,Spanish,1
andeynesterov,Russian,166
andeynesterov,Ukrainian,11
andeynesterov,Serbian,3
andeynesterov,Albanian,1
andeynesterov,English,12
andeynesterov,Macedonian,1
andeynesterov,Italian,1
andeynesterov,German,2
andeynesterov,Uzbek,3
AndiosmarrTrump,English,1444
AndiosmarrTrump,Italian,1
AndreasEulitz,German,201
AndreasEulitz,Swedish,4
AndreBakin,Russian,441
AndreBakin,Ukrainian,30
AndreBakin,Serbian,13
AndreBakin,Uzbek,8
AndreBakin,Bulgarian,4
AndreBakin,Macedonian,3
andrebeauleger,LANGUAGE UNDEFINED,1
andrebeauleger,French,19
andrebeauleger,English,2
AndrejFrolov69,Russian,1
AndrewHeddd,English,48
andreyykondrat1,Russian,22
andreyykondrat1,Ukrainian,4
andreyykondrat1,Arabic,1
andrey_lischina,Russian,10
andrey_lischina,English,22
AndrisnaBRT,English,819
AndrisnaBRT,Spanish,1
AndriyCCCP,Russian,442
AndriyCCCP,Ukrainian,38
AndriyCCCP,Bulgarian,5
AndriyCCCP,Serbian,6
AndriyCCCP,Uzbek,11
AndriyCCCP,Macedonian,5
Androfag,Russian,18
Androfag,Uzbek,1
Androfag,Ukrainian,2
Androfag,English,1
AndrreetrT,English,549
AndrreetrT,Spanish,1
AndruninVanya,Russian,18
AndruninVanya,Macedonian,1
AndryNaumov,Russian,8
AndryNaumov,English,2
Andry_Volk,Russian,45
Andry_Volk,Ukrainian,2
Andry_Volk,English,1
andsbxx30,English,9
andsbxx30,Arabic,1
AndyDrewDaniels,English,1801
AndyDrewDaniels,Italian,6
AndyDrewDaniels,Catalan,3
AndyDrewDaniels,Farsi (Persian),5
AndyDrewDaniels,French,4
AndyDrewDaniels,Finnish,3
AndyDrewDaniels,Uzbek,1
AndyDrewDaniels,German,2
AndyDrewDaniels,Latvian,1
AndyDrewDaniels,Norwegian,5
AndyDrewDaniels,Romanian,5
AndyDrewDaniels,Albanian,1
AndyDrewDaniels,Tagalog (Filipino),1
AndyDrewDaniels,Vietnamese,3
AndyDrewDaniels,Malay,1
AndyDrewDaniels,Swedish,1
AndyDrewDaniels,Arabic,1
AndyDrewDaniels,Estonian,2
AndyDrewDaniels,Polish,1
AndyDrewDaniels,Icelandic,1
